layout,layoutCount,algorithm,iteration,cost,expandedNodes,score,result
small,3,bfs,6,6,16,504,Win
small,3,bfs,7,20,95,490,Win
small,3,bfs,8,12,70,498,Win
small,3,bfs,9,11,70,499,Win
small,3,ucs,0,9,34,501,Win
small,3,ucs,1,15,54,495,Win
small,3,ucs,2,8,24,502,Win
small,3,ucs,3,10,34,500,Win
small,3,ucs,4,4,17,506,Win
small,3,ucs,5,6,26,504,Win
small,3,ucs,6,6,16,504,Win
small,3,ucs,7,20,95,490,Win
small,3,ucs,8,12,70,498,Win
small,3,ucs,9,11,70,499,Win
small,3,astar,0,9,15,501,Win
small,3,astar,1,15,20,495,Win
small,3,astar,2,8,11,502,Win
small,3,astar,3,10,15,500,Win
small,3,astar,4,4,6,506,Win
small,3,astar,5,6,7,504,Win
small,3,astar,6,6,6,504,Win
small,3,astar,7,20,46,490,Win
